সময়	sh o m o y
সুন্দর	sh u nd O r
সকাল	sh o k a l
সন্তান	sh o nt a n
সমাজ	sh o m a j
সবাই	sh o b a i
সংসার	sh o ng sh a r
সাইকেল	s a i k e l
সিনেমা	s i n e m a
সেকেন্ড	s e k e n D
সেন্টার	s e n T a r
সোফা	s O ph a
সুপার	s u p a r
সালাম	s a l a m
সাহেব	sh a h e b
সিলেট	s i l e T
সেলিম	s e l i m
সাকলাইন	s a k l a i n
বিজ্ঞান	b i g g a n
জ্ঞান	g A n
সন্ধ্যা	sh o n dh a
বিশ্ব	b i sh sh O
স্বাধীনতা	sh a dh i n o t a
আমি	a m i
তুমি	t u m i
সে	sh e
আমরা	a m r a
তোমরা	t O m r a
তারা	t a r a
ভালো	bh a l O
খারাপ	kh a r a p
বাংলাদেশ	b a ng l a d e sh
ঢাকা	Dh a k a
মানুষ	m a n u sh
পানি	p a n i
ক্ষমা	kkh o m a
রক্ত	r o kt O
শক্তি	sh O kt i
করছি	k O r chh i
বাংলা	b a ng l a
আমার	a m a r
নাম	n a m
কম	k o m
ভাত	bh a t
তথ্য	t O t th O
মাথা	m a th a
চোখ	ch O kh
কান	k a n
নাক	n a k
মুখ	m u kh
হাত	h a t
পা	p a
বুক	b u k
পেট	p e T
গলা	g o l a
মা	m a
বাবা	b a b a
ভাই	bh a i
বোন	b O n
ছেলে	chh e l e
মেয়ে	m e y e
স্বামী	sh a m i
স্ত্রী	s t r i
দাদা	d a d a
নানা	n a n a
মাছ	m a chh
মাংস	m a ng sh O
ডাল	D a l
তরকারি	t o r k a r i
দুধ	d u dh
চা	ch a
রুটি	r u T i
ডিম	D i m
তেল	t e l
লবণ	l o b O n
এক	E k
দুই	d u i
তিন	t i n
চার	ch a r
পাঁচ	p a~ ch
ছয়	chh o y
সাত	sh a t
আট	a T
নয়	n o y
দশ	d o sh
লাল	l a l
নীল	n i l
সবুজ	sh O b u j
হলুদ	h O l u d
কালো	k a l O
সাদা	sh a d a
বেগুনি	b e g u n i
কমলা	k o m l a
খাওয়া	kh a O y a
যাওয়া	j a O y a
আসা	a sh a
করা	k o r a
বলা	b o l a
দেখা	d E kh a
শোনা	sh O n a
পড়া	p o r a
লেখা	l E kh a
ঘুমানো	gh u m a n O
বড়	b o r O
ছোট	chh O T O
গরম	g o r O m
ঠান্ডা	Th a n D a
নতুন	n O t u n
পুরনো	p u r O n O
ভারী	bh a r i
হালকা	h a l k a
চট্টগ্রাম	ch o T T O gr a m
রাজশাহী	r a j sh a h i
খুলনা	kh u l n a
বরিশাল	b O r i sh a l
ময়মনসিংহ	m o y m O n sh i ng
বাড়ি	b a r i
আমি ভালো আছি	a m i | bh a l O | a chh i
তুমি কেমন আছো	t u m i | k E m o n | a chh O
সে বাড়ি যাচ্ছে	sh e | b a r i | j a ch chh e
স্কুল	s k u l
নারায়ণগঞ্জ	n a r a y O n g o nj
বিশ্ববিদ্যালয়	b i sh sh O b i d d a l o y
ব্যথা	b A th a
বন্যা	b o n n a
গ্রীষ্ম	gr i sh sh O
জ্বর	j o r
চিকিৎসা	ch i k i t sh a
কলেজ	k o l e j
কম্পিউটার	k o mp i u T a r
মোবাইল	m O b a i l
ডাক্তার	D a kt a r
টেলিভিশন	T e l i bh i sh o n
ইন্টারনেট	i n T a r n e T
রেডিও	r e D i O
দেওয়া	d e O y a
নেওয়া	n e O y a
রাখা	r a kh a
ধরা	dh o r a
ছাড়া	chh a r a
পাওয়া	p a O y a
হওয়া	h o O y a
জানা	j a n a
রংপুর	r o ng p u r
কুমিল্লা	k u m i l l a
বৃষ্টি	b ri shT i
রোদ	r O d
মেঘ	m e gh
ঝড়	jh o r
শীত	sh i t
গরু	g O r u
ছাগল	chh a g O l
মুরগি	m u r g i
কুকুর	k u k u r
বিড়াল	b i r a l
হাতি	h a t i
বাঘ	b a gh
সাপ	sh a p
পাখি	p a kh i
শিক্ষক	sh i kkh o k
ছাত্র	chh a tr O
পরীক্ষা	p O r i kkh a
বই	b O i
কলম	k o l O m
হাসপাতাল	h a sh p a t a l
ওষুধ	O sh u dh
রোগ	r O g
দুপুর	d u p u r
বিকেল	b i k e l
রাত	r a t
আজ	a j
কাল	k a l
পরশু	p O r sh u
এখন	E kh O n
তখন	t o kh O n
শূন্য	sh u n n O
এগারো	E g a r O
বারো	b a r O
তেরো	t E r O
চৌদ্দ	ch ou d d O
পনেরো	p O n e r O
ষোলো	sh O l O
সতেরো	sh o t e r O
আঠারো	a Th a r O
উনিশ	u n i sh
কুড়ি	k u r i
ত্রিশ	tr i sh
চল্লিশ	ch O l l i sh
পঞ্চাশ	p o nch a sh
ষাট	sh a T
সত্তর	sh O tt O r
আশি	a sh i
নব্বই	n O b b O i
একশ	E k sh O
শত	sh o t O
হাজার	h a j a r
লক্ষ	l o kkh O
কোটি	k O T i
