word	phoneme	tag
অংগরাজ্য	o ng g O r a j j O	native
অংগারাম্ল	o ng g a r a m l O	native
অংগিকারপত্র	O ng g i k a r p O tr O	native
অংগিকারবদ্ধ	O ng g i k a r b o d dh O	tatsama
অংগিকারাবদ্ধ	O ng g i k a r a b o d dh O	tatsama
অংগুশ্ঠ	O ng g u sh Th O	native
অংশিদারত্ব	O ng sh i d a r O t t O	tatsama
অংশিদারিত্ব	O ng sh i d a r i t t O	tatsama
অংশীদারত্ব	O ng sh i d a r O tt O	tatsama
অংশোইপ্রম্ন	o ng sh O i pr O m n O	native
অং্গ	o ng g o	native
অকথ্য	o k O t th O	native
অকনিশ্ঠ	o k O n i sh Th O	native
অকর্তব্য	o k o r t o b b O	native
অকর্ন	o k o r n O	native
অকর্ম	o k o r m O	native
অকর্মন্য	o k o r m o n n O	native
অকর্মিশ্ঠ	o k O r m i sh Th O	native
অকলমন্দ	o k o l m o nd o	native
অকল্ক	o k o l k O	native
অকল্যান্ড	o k l A n D	native
অকশ্ট	o k o sh T O	native
অকাট্য	o k a T T O	native
অকান্ড	o k a n D O	native
অকাপট্য	o k a p o T T O	native
অকাম্য	o k a m m O	native
অকার্য	o k a r j O	native
অকুন্ঠ	o k u n Th O	native
অকৃতকার্য	o k ri t O k a r j O	tatsama
অকৃতঘ্ন	o k ri t o gh n O	tatsama
অকৃতজ্ঞ	o k ri t o g g O	tatsama
অকৃতার্থ	o k ri t a r th O	tatsama
অকৃতিত্ব	o k ri t i tt O	tatsama
অকৃত্য	o k ri t t O	tatsama
অকৃশ্ট	o k ri sh T O	tatsama
অকৃশ্ন	o k ri sh n O	tatsama
অক্ত	o kt O	native
অক্রুদ্ধ	O kr u d dh O	tatsama
অক্লান্ত	o kl a nt O	native
অক্লিশ্ট	O kl i sh T O	native
অক্ষ	o kkh O	tatsama
অক্ষরজ্ঞানসম্পন্ন	o kkh o r g A n sh o mp o nn o	tatsama
অক্ষরবৃত্ত	o kkh o r b ri tt O	tatsama
অক্ষরানন্দ	o kkh r a n o nd O	tatsama
অক্ষিন্ন	O kkh i nn O	tatsama
অক্ষুন্ন	o kkh u nn O	tatsama
অক্ষোভ্য	o kkh O b bh O	tatsama
অক্সফোর্ড	o k s ph O r D	loanword
অক্সিজেনশুন্য	o k s i j e n sh u n n O	loanword
অক্সিডেন্ট	o k s i D e n T	loanword
অখন্ড	o kh o n D o	native
অখর্ব	o kh o r b O	native
অখাদ্য	o kh a d d O	native
অখিদ্য	O kh i d d O	native
অখিন্ন	O kh i nn O	native
অগন্য	o g o n n O	native
অগম্য	o g o m m O	native
অগস্ট	o g a sh T	loanword
অগস্ত্য	o g O st O	native
অগাস্ট	o g a sh T	loanword
অগুরুত্বপুর্ন	O g u r u tt o p u r n o	tatsama
অগ্নিকান্ড	O g n i k a n D O	native
অগ্নিকুন্ড	O g n i k u n D O	native
অগ্নিগর্ভ	O g n i g o r bh O	native
অগ্নিদগ্ধ	O g n i d o g dh O	native
অগ্নিমুল্য	O g n i m u l l O	native
অগ্ন্যস্ত্র	o g n O st r O	native
অগ্র	o gr O	native
অগ্রগতিসংক্রান্ত	o gr O g o t i sh o ng kr a nt o	compound
অগ্রগন্য	o gr O g O n n O	native
অগ্রহনজোগ্য	o gr O h O n j O g g O	native
অগ্রাধিকারপ্রাপ্ত	o gr a dh i k a r pr a p t O	compound
অগ্রাহ্য	o gr a j jh O	native
অগ্র্য	o g gr O	native
অঘৃন্য	o gh r i n n O	tatsama
অচরিতার্থ	o ch O r i t a r th O	native
অচিন্ত্য	O ch i nt O	native
অচুর্ন	O ch u r n O	native
অচেশ্ট	o ch e sh T O	native
অচোইতন্য	o ch O i t o n n O	native
অচ্ছ	o ch chh O	native
অচ্ছিদ্র	O ch chh i d r O	native
অচ্ছিন্ন	O ch chh i nn O	native
অচ্ছেদ্য	o ch chh e d d O	native
অছাত্র	o chh a tr O	native
অজত্ন	o j o t n O	native
অজথার্থ	o j O th a r th O	native
অজন্ত	o j o nt O	native
অজস্র	o j O s r O	native
অজামিনজোগ্য	o j a m i n o j O g g o	native
অজির্ন	O j i r n O	native
অজুক্ত	O j u kt O	native
অজুগ্ম	O j u g m O	native
অজোগ্য	o j O g g o	native
অজোধ্য	o j O d dh O	native
অজ্ঞ	o g g O	tatsama
অট্ট	o T T O	native
অডিয়েন্স	o D i y e n s	loanword
অণুবীক্ষণ যন্ত্র	O n u b i kkh o n | j o n t r O	compound
অতথ্য	o t o t th O	native
অতন্দ্র	o t o ndr O	native
অতর্ক	o t o r k O	native
অতলন্ত	o t o l o nt o	native
অতলস্পর্শ	o t o l O s p o r sh O	loanword
অতিক্রান্ত	O t i kr a nt O	native
অতিক্ষুদ্র	O t i kh u d r O	tatsama
অতিগুরুত্বপুর্ন	O t i g u r u tt o p u r n o	tatsama
অতিদরিদ্র	O t i d O r i d r O	native
অতিদারিদ্র্য	O t i d a r i d r O	native
অতিদাহ্য	O t i d a j j O	native
অতিবিপন্ন	O t i b i p o nn O	native
অতিবৃদ্ধ	O t i b r i d dh o	tatsama
অতিরিক্ত	O t i r i kt O	native
অতিশ্ট	O t i sh T O	native
অতিশ্ঠ	o t i sh Th O	native
অতিসংক্ষিপ্ত	O t i sh O ng kkh i p t O	tatsama
অতুচ্ছ	O t u ch chh O	native
অতুশ্ট	O t u sh T O	native
অতৃপ্ত	o t r i p t O	tatsama
অতৃপ্য	o t ri p p O	tatsama
অত্যন্ত	O t t o nt O	native
অত্যল্প	o t t o l p O	native
অত্যাজ্য	o t A j j O	native
অত্যান্ত	o t t a nt O	native
অত্যাশ্চর্য	o t t a sh ch o r j O	native
অত্যাসক্ত	o t t a sh o kt O	native
অত্যাসন্ন	o t t a sh o nn O	native
অত্যুগ্র	O t t u g gr O	native
