# Missing priority verb forms; pronunciations from the current G2P engine; review before adding to lexicon.
# word\tphonemes\tregister
হয়েছিল	h O y e chh i l O	native
হচ্ছে	h O ch chh e	native
হয়েই	h O y e i	native
যাবে	j a b e	native
যাবো	j a b O	native
গিয়েছে	g i y e chh e	native
গিয়েছিল	g i y e chh i l O	native
গেলো	g E l O	native
যেতে	j e t e	native
থাকে	th a k e	native
থাকব	th a k b O	native
ছিলাম	chh i l a m	native
ছিলেন	chh i l e n	native
থাকতে	th a k t e	native
নিয়েছিল	n i y e chh i l O	native
নেবে	n e b e	native
নিয়ে	n i y e	native
নিতে	n i t e	native
আসে	a sh e	native
এসেছি	e sh e chh i	native
এসেছিল	e sh e chh i l O	native
আসবে	a sh b e	native
আসতে	a sh t e	native
দাঁড়ায়	d a~ r a y	native
দাঁড়িয়েছে	d a~ r i y e chh e	native
দাঁড়াবে	d a~ r a b e	native
দাঁড়িয়ে	d a~ r i y e	native
দাঁড়াতে	d a~ r a t e	native
করে	k O r e	native
করেছি	k O r e chh i	native
করবে	k O r b e	native
করল	k O r l O	native
করলো	k o r l O	native
করছে	k o r chh e	native
বলে	b o l e	native
দেখে	d e kh e	native
দেখেছে	d e kh e chh e	native
দেখেছি	d e kh e chh i	native
দেখবে	d e kh b e	native
দেখল	d e kh l O	native
শোনে	sh O n e	native
শুনেছে	sh u n e chh e	native
শুনেছি	sh u n e chh i	native
শুনবে	sh u n b e	native
দেয়	d E y	native
দিয়েছে	d i y e chh e	native
দিয়েছি	d i y e chh i	native
দেবে	d e b e	native
দিয়ে	d i y e	native
পেয়েছে	p e y e chh e	native
পাব	p a b	native
পেয়ে	p e y e	native
পেতে	p e t e	native
চায়	ch a y	native
চেয়েছে	ch e y e chh e	native
চেয়েছি	ch e y e chh i	native
চাইবে	ch a i b e	native
চাইব	ch a i b O	native
চেয়ে	ch e y e	native
চাইতে	ch a i t e	native
রাখে	r a kh e	native
রেখেছে	r e kh e chh e	native
রাখব	r a kh b O	native
রেখে	r e kh e	native
রাখতে	r a kh t e	native
পড়ে	p O r e	native
পড়েছি	p O r e chh i	native
পড়ব	p O r b O	native
পড়ল	p O r l O	native
লিখেছি	l i kh e chh i	native
লিখবে	l i kh b e	native
লিখে	l i kh e	native
লিখতে	l i kh t e	native
খেয়েছে	kh e y e chh e	native
খেয়েছি	kh e y e chh i	native
খাবে	kh a b e	native
খেয়ে	kh e y e	native
ঘুমায়	gh u m a y	native
ঘুমিয়েছে	gh u m i y e chh e	native
ঘুমাবে	gh u m a b e	native
ঘুমিয়ে	gh u m i y e	native
ঘুমাতে	gh u m a t e	native
বসে	b O sh e	native
বসেছে	b O sh e chh e	native
বসেছি	b O sh e chh i	native
বসবে	b O sh b e	native
বসব	b O sh b O	native
বসতে	b o sh t e	native
উঠেছি	u Th e chh i	native
উঠবে	u Th b e	native
উঠব	u Th b O	native
উঠল	u Th l O	native
উঠতে	u Th t e	native
নামে	n a m e	native
নেমেছে	n e m e chh e	native
নেমে	n e m e	native
ছেড়েছে	chh e r e chh e	native
ছেড়ে	chh e r e	native
ছাড়তে	chh a r t e	native
ধরবে	dh O r b e	native
ফেলে	ph e l e	native
ফেলেছে	ph e l e chh e	native
ফেলতে	ph E l t e	native
তুলবে	t u l b e	native
তুলে	t u l e	native
তুলতে	t u l t e	native
