word	phoneme	tag
ক	k o	native
কং	k o ng	native
কংক	k o ng k O	native
কংকন	k o ng k o n	native
কংকর	k o ng k o r	native
কংস	k o ng sh O	native
কংসক	k o ng sh O k	native
কংসনগর	k o ng sh o n o g o r	native
কক	k o k	native
কক্বরক	k o k b o r k	native
কক্ষ	k o kkh O	tatsama
কক্ষপথ	k o kkh O p o th	tatsama
কক্ষসংকট	k o kkh o sh o ng k o T	tatsama
কক্ষসহ	k o kkh o sh o h O	tatsama
কক্স	k o k s	loanword
কখ	k o kh o	native
কখন	k o kh O n	native
কচ	k o ch	native
কচংগন	k o ch o ng g o n	native
কচমচ	k o ch m o ch	native
কচ্ছ	k o ch chh O	native
কচ্ছপ	k o ch chh O p	native
কচ্ছপসহ	k o ch chh o p T i sh o h O	native
কছম	k o chh O m	native
কছর	k o chh o r	native
কছরত	k o chh r o t	native
কজ	k o j	native
কজন	k o j O n	native
কজ্জল	k o j j o l	native
কঞ্জ	k o nj O	tatsama
কট	k o T	native
কটক	k o T o k	native
কটকট	k o T k o T	native
কটন	k o T O n	loanword
কটনসহ	k o T O n sh o h O	loanword
কটমট	k o T m o T	native
কট্টর	k o T T O r	native
কড	k o D	native
কত	k o t O	native
কতক	k o t O k	native
কতক্ষন	k o t O kkh O n	tatsama
কতজন	k o t O j o n	native
কততম	k o t O t o m O	native
কতল	k o t O l	native
কতশত	k o t O sh o t o	native
কতসংখ্যক	k o t O sh o ng kh o k	native
কত্ত	k o tt O	native
কত্থক	k o t th o k	native
কথ	k o th	native
কথক	k o th O k	native
কথন	k o th O n	native
কথ্য	k O t th O	native
কদ	k o d	native
কদক্ষর	k o d O kkh o r	tatsama
কদন্ন	k o d o nn O	native
কদম	k o d O m	native
কদম্ব	k o d o mb O	native
কদর	k o d O r	native
কদর্থ	k o d r o th O	native
কদর্য	k o d O r j O	native
কন	k o n	native
কনক	k o n O k	native
কনকন	k o n k o n	native
কনকর্ড	k o n k o r D	proper_noun
কনডম	k o n D O m	loanword
কনভয়	k o n bh o y	loanword
কনর	k o n o r	native
কন্টক	k o n T O k	native
কন্ঠ	k o n Th O	native
কন্ঠস্বর	k o n Th O sh o r	tatsama
কন্ঠ্য	k o n Th O	native
কন্ডন	k o n D o n	native
কন্দ	k o nd O	native
কন্দক	k o nd o k	native
কন্দর	k o nd o r	native
কন্দর্প	k o nd o r p O	native
কন্দল	k o nd o l	native
কন্ধ	k o ndh O	tatsama
কন্ধর	k o ndh o r	tatsama
কন্ব	k o n n O	native
কপ	k o p	native
কপট	k o p O T	native
কপর্দ	k o p O r d O	native
কপর্দক	k o p O r d o k	native
কফ	k o ph	native
কব	k o b	native
কবচ	k o b O ch	native
কবজ	k o b O j	native
কবন্ধ	k o b o ndh O	tatsama
কবর	k o b O r	native
কবরস্থ	k o b O r O sth O	native
কবল	k o b O l	native
কব্য	k O b b O	native
কম	k o m	native
কমজগত	k o m j o g O t	native
কমজগৎ	k o m j o g O t	native
কমঠ	k o m o Th	native
কমত	k O m t O	native
কমন	k o m O n	loanword
কমনজর	k o m n o j O r	native
কমনস	k o m O n s	loanword
কমন্স	k o m O n s	loanword
কমব	k o m b o	native
কমর	k O m o r	native
কমল	k o m O l	native
কমলগঞ্জ	k o m O l g o nj	tatsama
কমলনগর	k o m O l n o g O r	native
কমসংখ্যক	k o m sh o ng kh O k	native
কম্পন	k o mp O n	native
কম্প্র	k o m p r O	tatsama
কম্ব	k o mb	loanword
কম্বল	k o mb O l	native
কম্ম	k o mm O	native
কম্র	k o m r O	native
কর	k o r	native
করক	k o r o k	native
করকচ	k o r k o ch	native
করকর	k o r k o r	native
করচ	k o r O ch	native
করছ	k O r chh O	native
করত	k O r t O	native
করতল	k o r O t o l	native
করতলগত	k o r o t o l g o t o	native
