অ্যাপ্লিকেশন	A p l i k e sh o n	loanword
অ্যাভিয়েশন	A bh i e sh o n	loanword
ক্যানসারসহ	k A n s a r sh o h O	loanword
ক্যান্সার বিশেষজ্ঞ	k A n s a r | b i sh e sh o g g O	compound
ক্যাপশন	k A p sh o n	loanword
ক্যারিশমা	k A r i sh m a	loanword
ক্যালসিয়াম	k A l sh i a m	loanword
ক্যাশ	k A sh	loanword
গ্যাস সংযোগ	g A s | sh o ng j O g	compound
ট্যাক্সসহ	T A k s sh o h O	loanword
ট্যাবলেটসহ	T A b l e T sh o h O	loanword
ন্যাশনালিস্ট	n A sh n a l i s T	loanword
ন্যাশের	n A sh e r	proper_noun
ব্যাংকসমূহের	b A ng k sh O m u h e r	loanword
ব্যাশে	b A sh e	loanword
ব্যাস	b A sh	native
ম্যাচসেরার	m A ch sh e r a r	loanword
শ্যাডো	sh A D O	loanword
শ্যাডোর	sh A D O r	loanword
শ্যানন	sh A n o n	native
শ্যামনগরের	sh A m n o g O r e r	proper_noun
শ্যাম্পু	sh A mp u	loanword
শ্যালক	sh A l o k	native
শ্যালককে	sh A l O k k e	native
শ্যালিকা	sh A l i k a	native
স্যানিটেশন	s A n i T e sh o n	loanword
স্যানিটেশনের	s A n i T e sh o n e r	loanword
স্যালো	sh A l O	loanword
হ্যালুসিনেশন	h A l u s i n e sh o n	loanword
এ্যানিসহ	A n i sh o h O	proper_noun
ক্যানসারবিশয়ক	k A n s a r b i sh o y O k	loanword
ক্যান্সারসহ	k A n s a r sh o h O	loanword
ক্যাপশনে	k A p sh o n e	loanword
ক্যামেরাসহ	k A m e r a sh o h O	loanword
ক্যাম্পসংলগ্ন	k A mp sh o ng l o g n O	compound
ক্যাম্পাসসংলগ্ন	k A mp a s sh o ng l o g n O	compound
ক্যারিশমাটিক	k A r i sh o m a T i k	native
ক্যারিশমায়	k A r i sh o m a y	native
ক্যারিশম্যাটিক	k A r i sh m A T i k	compound
ক্যারিয়ারসেরা	k A r i y a r sh e r a	compound
ক্যালাসানের	k A l a sh a n e r	native
ক্যাশবাক্স	k A sh b a k s O	loanword_nativized
ক্যাশব্যাক	k A sh b A k	loanword
ক্যাশিয়া	k A sh i y a	loanword
ক্যাশিয়ার	k A sh i y a r	loanword
ক্যাশে	k A sh e	loanword
ক্যাস	k A sh o	loanword
খ্যাতিসম্পন্ন	kh A t i sh o mp O nn O	compound
গ্যারিসন	g A r i sh o n	proper_noun
গ্যাসশুন্য	g A s o sh u n n o	loanword
গ্যাসসংকট	g A s sh o ng k o T	loanword
গ্যাসসংকটের	g A s sh o ng k o T e r	loanword
গ্যাসসংজোগ	g A s sh o ng j O g	loanword
গ্যাসসমৃদ্ধ	g A s sh o m r i d dh O	tatsama
গ্যাসসম্পদ	g A s sh o mp o d	loanword
গ্যাসসম্পদের	g A s sh o mp o d e r	loanword
গ্যাসসহ	g A s sh o h O	loanword
গ্যাসস্টেশনে	g A s s T e sh o n e	loanword
গ্যাসস্বল্পতা	g A s sh o l p o t a	tatsama
গ্যাসস্বল্পতার	g A s sh o l p o t a r	tatsama
গ্যাসিফিকেশন	g A s i ph i k e sh o n	loanword
ঘ্যাস	gh A sh	native
চ্যাম্পিয়নশিপ	ch A mp i o n sh i p	compound
চ্যাম্পিয়নশিপই	ch A mp i y o n sh i p i	compound
চ্যাম্পিয়নশিপে	ch A mp i y o n sh i p e	compound
চ্যাম্পিয়নশিপেই	ch A mp i y o n sh i p e i	compound
চ্যাম্পিয়নশিপেও	ch A mp i y o n sh i p e O	compound
চ্যাম্পিয়নশিপের	ch A mp i y o n sh i p e r	compound
চ্যালেঞ্জসমুহ	ch A l e nj sh o m u h o	compound
ট্যাংকসহ	T A ng k o sh o h O	loanword
ট্যাকশাল	T A k sh a l	native
ট্যানারিশিল্প	T A n a r i sh i l p O	compound
ট্যাসট্যাস	T A sh T A sh	native
ড্যানিশ	D A n i sh	loanword
ড্যাশ	D A sh	loanword
ড্যাশবোর্ডের	D A sh o b O r D e r	loanword
ড্যাশিং	D A sh i ng	loanword
ঢ্যাপসা	Dh A p sh a	native
ঢ্যাড়স	Dh A r o sh	native
দ্যাশ	d A sh	native
দ্যাশে	d A sh e	native
দ্যাশের	d A sh e r	native
ন্যানেস	n A n e sh	native
ন্যানেসের	n A n e sh e r	native
ন্যাশ	n A sh	native
ন্যাশন	n A sh o n	native
ন্যাশনস	n A sh o n s	native
ন্যাশনাল	n A sh o n a l	native
ন্যাশনালিটি	n A sh o n a l i T i	native
ন্যাশনালে	n A sh o n a l e	native
ন্যাশানাল	n A sh a n a l	native
ন্যাস	n A sh	native
ন্যাসি	n A sh i	native
ন্যায়নিশ্ঠ	n A y n i sh Th O	native
