কসমেটিক্স	k o sh m e T i k s	loanword
কসমোপলিটন	k o s m O p O l i T o n	loanword
কসরতে	k o s r o t e	native
কসরতের	k o s r o t e r	native
কসা	k o sh a	native
কসাই	k o sh a i	native
কসাইখানা	k o sh a i kh a n a	native
কসাইখানায়	k o sh a i kh a n a y	native
কসাইদের	k o sh a i d e r	native
কসাল	k o sh a l	native
কসাড়	k o sh a r	native
কসা–মাজা	k o sh a m a j a	native
কসি	k o sh i	native
কসিদা	k O sh i d a	native
কসুর	k O sh u r	native
কসেগিন	k o s e g i n	proper_noun
কসেরু	k o sh e r u	native
কসেল্লা	k o sh e l l a	native
কসোভো	k o s O bh O	proper_noun
কসোভোকে	k o s O bh O k e	proper_noun
কসোভোতে	k o s O bh O t e	proper_noun
কসোভোর	k o s O bh O r	proper_noun
কস্টা	k o s T a	loanword
কস্টিউম	k o s T i u m	loanword
কস্টিক	k o s T i k	loanword
কস্ত	k o st	native
কস্তাকস্তি	k o st a k O st i	native
কস্তার	k o st a r	native
কস্তুরভা	k o st u r bh a	native
কস্তুরি	k o st u r i	native
কস্তুরিকা	k o st u r i k a	native
কস্মিনকালে	k O sh m i n k a l e	native
কস্মিনকালেও	k O sh sh i n k a l e O	native
কস্য	k O sh sh O	native
কহ	k o h O	native
কহতব্য	k o h O t O b b O	native
কহন	k o h O n O	native
কহনো	k o h o n O	native
কহন্তি	k o h o nt i	native
কহর	k o h O r	native
কহসি	k o h o sh i	native
কহহি	k O h o h i	native
কহা	k o h a	native
কহিতুর	k O h i t u r o	native
কহিনি	k O h i n i	native
কহিনুর	k O h i n u r | k o h i n u r	native
কহির	k O h i r	native
কহিল	k O h i l O	native
কহিলেন	k O h i l e n	native
কহু	k O h u	native
কহুয়া	k O h u y a	native
কহো	k o h O	native
কহ্লার	k o l h a r	native
কা	k a	native
কাং	k a ng	native
কাংক্ষ	k a ng kh O	tatsama
কাংক্ষা	k a ng kh a	tatsama
কাংক্ষিত	k a ng k i t o	tatsama
কাংখিত	k a ng kh i t O	native
কাংগন	k a ng g O n	native
কাংগা	k a ng g a	native
কাংগাল	k a ng g a l	native
কাংশা	k a ng sh a	native
কাংাল	k a ng a l | k a ng g a l	native
কাংালিভোজের	k a ng g a l i bh O j e r	native
কাংালের	k a ng g a l e r	native
কাং্ক্ষিত	k a ng kh i t O	tatsama
কাং্গালিনি	k a ng g a l i n i	native
কাআ	k a y a	native
কাই	k a i	native
কাইউম	k a i u m	native
কাইকারটেক	k a i k a r T e k	native
কাইকুতু	k a i k u t u	native
কাইচা	k a i ch a	native
কাইজ	k a i j	native
কাইজা	k a i j a	native
কাইজার	k a i j a r	native
কাইট	k a i T	native
কাইটস	k a i T s	loanword
কাইটা	k a i T a	native
কাইট্টা	k a i T T a	native
কাইনি	k a i n i	native
কাইনেক্ট	k a i n e k T	loanword
কাইনেটিক	k a i n e T i k	loanword
কাইন্ড	k a i n D	loanword
কাইফ	k a i ph	native
কাইফও	k a i ph O	native
কাইফকে	k a i ph k e	native
কাইফের	k a i ph e r	native
কাইভ	k a i bh	native
কাইম	k a i m	native
কাইমাই	k a i m a i	native
কাইরন	k a i r o n	native
কাইল	k a i l	native
কাইলাকুরি	k a i l a k u r i	native
কাইলি	k a i l i	native
কাইল্যা	k a i l l a	native
কাইল্লা	k a i l l a	native
কাইস্টের	k a i s T e r	loanword
কাইড়া	k a i r a	native
কাইয়া	k a i y a	native
কাইয়ানির	k a i y a n i r	native
কাইয়ুম	k a i y u m	native
কাইয়ুমকে	k a i y u m k e	native
কাইয়ুমসহ	k a i y u m sh o h O	native
কাইয়ুমের	k a i y u m e r	native
কাইয়ো	k a i y O	native
কাউ	k a u	native
কাউকে	k a u k e	native
কাউকেই	k a u k e i	native
কাউকেও	k a u k e O	native
কাউখালি	k a u kh a l i	native
কাউখালিতে	k a u kh a l i t e	native
কাউখালির	k a u kh a l i r	native
কাউছার	k a u chh a r	native
কাউড্রে	k a u D r e	loanword
কাউন	k a u n	native
কাউনাইন	k a u n a i n	native
কাউনিয়া	k a u n i y a	native
কাউনিয়ায়	k a u n i y a y	native
কাউন্ট	k a u n T	native
কাউন্টডাউন	k a u n T D a u n	native
কাউন্টার	k a u n T a r	native
কাউন্টারকারেন্টস	k a u n T a r k a r e n T s	compound
কাউন্টারগুলো	k a u n T a r g u l O	native
কাউন্টারগুলোতে	k a u n T a r g u l O t e	compound
কাউন্টারগুলোর	k a u n T a r g u l O r	compound
কাউন্টারপাঞ্চ	k a u n T a r p a n ch	compound
কাউন্টারভিত্তিক	k a u n T a r bh i tt i k	compound
কাউন্টারভেইলিং	k a u n T a r bh e i l i ng	compound
কাউন্টারেই	k a u n T a r e i	native
কাউন্টারেও	k a u n T a r e O	native
কাউন্টারের	k a u n T a r e r	native
কাউন্টি	k a u n T i	native
কাউন্টিতে	k a u n T i t e	native
কাউন্টির	k a u n T i r	native
কাউন্টের	k a u n T e r	native
কাউন্দিয়া	k a u nd i y a	native
কাউন্সিল	k a u n s i l	loanword
কাউন্সিলই	k a u n s i l i	loanword
কাউন্সিলও	k a u n s i l O	loanword
কাউন্সিলকে	k a u n s i l k e	loanword
কাউন্সিলর	k a u n s i l o r	loanword
কাউন্সিলরও	k a u n s i l o r O	loanword
কাউন্সিলরকে	k a u n s i l o r k e	loanword
কাউন্সিলরদের	k a u n s i l o r d e r	loanword
কাউন্সিলররা	k a u n s i l o r r a	loanword
কাউন্সিলররাও	k a u n s i l a r r a O	loanword
কাউন্সিলরসহ	k a u n s i l o r sh o h O	loanword
কাউন্সিলরের	k a u n s i l o r e r	loanword
কাউন্সিলার	k a u n s i l a r	loanword
কাউন্সিলে	k a u n s i l e	loanword
কাউন্সিলের	k a u n s i l e r	loanword
কাউন্সিলেরও	k a u n s i l e r O	loanword
কাউন্সেলর	k a u n s e l o r	loanword
কাউন্সেলরের	k a u n s i l r e r	loanword
কাউন্সেলিং	k a u n s e l i ng	loanword
কাউন্সেলিংয়ের	k a u n s e l i ng y e r	loanword
কাউবয়	k a u b o y	native
কাউর	k a u r	native
কাউরে	k a u r e	native
কাউল	k a u l	native
কাউলিবেড়া	k a u l i b e r a	native
কাউসার	k a u sh a r	native
কাউসারের	k a u sh a r e r	native
কাউয়া	k a u y a	native
কাউয়াঠুটি	k a u y a Th u T i	native
কাউয়ারখোপ	k a u y a r kh O p	native
কাউয়ারচর	k a u y a r ch o r	native
কাউয়েন	k a u y e n	native
কাউয়েনের	k a u y e n e r	native
কাএদা	k a y o d a	native
কাও	k a O	native
কাওছার	k a O sh a r	native
কাওছারের	k a O chh a r e r	native
কাওনাইন	k a O n a i n	native
কাওরা	k a O r a	native
কাওরাকান্দি	k A O r a k a nd i	native
কাওরাকান্দির	k a O r a k a nd i r	native
কাওরান	k a O r a n	native
কাওলা	k a O l a	native
কাওলার	k a O l a r	native
কাওলি	k a y O l i	native
কাওস	k a y O sh	native
কাওসার	k a O sh a r	native
কাওসারকে	k a O sh a r k e	native
কাওসারসহ	k a O sh a r sh o h O	native
কাওসারের	k a O sh a r e r	native
কাওড়া	k a O r a	native
কাওড়াকান্দি	k a O r a k a nd i	native
কাওড়াকান্দির	k a O r a k a nd i r	native
কাওয়া	k a O y a	native
কাওয়াজ	k a O y a j	native
কাওয়াদিঘি	k a O y a d i gh i	native
কাওয়ান	k a O y a n	native
কাওয়ানের	k a O y a n e r	native
কাওয়াল	k a O y a l	native
কাওয়ালি	k a O y a l i	native
কাওয়ালিপাড়া	k a O y a l i p a r a	native
কাওয়ালির	k a O y a l i r	native
কাওয়াশিমা	k a O y a sh i m a	native
কাকই	k a k o i	native
কাকইর	k a k i r	native
কাকও	k a k O	native
কাকগুলো	k a k g u l O	native
কাকচিড়া	k a k ch i r a	native
কাকটির	k a k T i r	native
কাকডাংগা	k a k D a ng g a	native
