দুতদের	d u t d e r	native
দুতাবাসগুলোকে	d u t a b a sh g u l O k e	compound
দুতাবাসসহ	d u t a b a sh sh o h O	loanword
দুতিয়ালি	d u t i y a l i	native
দুতিয়ালির	d u t i y a l i r	native
দুন	d u n	native
দুরই	d u r i	native
দুরত্বই	d u r o tt o i	tatsama
দুরত্বকে	d u r o tt o k e	tatsama
দুরত্বসহ	d u r o tt o sh o h O	tatsama
দুরত্বেই	d u r o tt e i	tatsama
দুরদর্শনের	d u r d o r sh o n e r	native
দুরদেশি	d u r d e sh i	native
দুরদেশে	d u r d e sh e	native
দুরদেশের	d u r d e sh e r	native
দুরনিয়ন্ত্রন	d u r n i y o n t r o n	native
দুরনিয়ন্ত্রিত	d u r n i y o n t r i t o	compound
দুরপাল্লা	d u r p a l l a	native
দুরপাল্লায়	d u r p a l l a y	native
দুরপ্রসারি	d u r pr o sh a r i	native
দুরপ্রাচ্য	d u r pr a ch ch o	native
দুরপ্রাচ্যের	d u r pr a ch ch e r	native
দুরশিক্ষন	d u r sh i kkh o n	tatsama
দুরাগত	d u r a g o t o	native
দুরান্তর	d u r a nt o r	native
দুরায়নি	d u r a y O n i	native
দুরিকরনসহ	d u r i k o r o n sh o h O	native
দুরিকৃত	d u r i k r i t O	tatsama
দুরিক্রিয়মান	d u r i kr i y O m a n	native
দুরিভবন	d u r i bh o b O n	native
দুশক	d u sh O k	native
দুশনও	d u sh o n O	native
দুশনকারিদের	d u sh o n k a r i d e r	native
দুশনকারির	d u sh o n k a r i r	native
দুশনজুক্ত	d u sh o n j u kt O	native
দুশনবিরোধি	d u sh o n b i r O dh i	native
দুশনমুলক	d u sh o n m u l o k	native
দুশনরোধে	d u sh o n r O dh e	native
দুশনসহ	d u sh o n sh o h O	native
দুশনিয়	d u sh o n i y o	native
দুশ্কর্মকে	d u sh k o r m o k e	native
দুশ্কর্মে	d u sh k o r m e	native
দুশ্কর্মের	d u sh k o r m e r	native
দুশ্কার্য	d u sh k a r j O	native
দুশ্কাল	d u sh k a l	native
দুশ্কৃত	d u sh k r i t O	tatsama
দুশ্কৃতকারিকে	d u sh k ri t o k a r i k e	tatsama
দুশ্কৃতকারির	d u sh k ri t o k a r i r	tatsama
দুশ্কৃতি	d u sh k r i t i	tatsama
দুশ্ক্রিয়া	d u sh k r i y a	native
দুশ্টচক্র	d u sh T o ch o kr O	native
দুশ্টচক্রে	d u sh T o ch o kr e	native
দুশ্পচ	d u sh p o ch	native
দুশ্পর্শ	d u sh p o r sh O	native
দুশ্প্রবৃত্তি	d u sh pr O b i tt i	tatsama
দুশ্প্রবেশ	d u sh p r o b e sh	native
দুশ্প্রমেয়	d u sh p r o m e y O	native
দুশ্প্রাপ্যতা	d u sh pr a p p o t a	compound
দুশ্প্রাপ্যতার	d u sh pr a p p o t a r	compound
দুস	d u sh	native
দুসর	d u sh o r	native
দুসরা	d u sh o r a	native
দুসরায়	d u sh r a y	native
দুসলি	d u sh O l i	native
দুসান	d u sh a n	native
দুস্কর	d u s k o r	loanword
দুস্তর	d u st o r	native
দুস্তি	d u st i	native
দুস্ত্যজ	d u st o j	native
দুস্থ	d u sth O	native
দুহা	d u h a	native
দুহাকার	d u h a k a r	native
দুহাত	d u h a t	native
দুহাতিয়া	d u h a t i y a	native
দুহাতে	d u h a t e	native
দুহান	d u h a n	native
দুহারা	d u h a r a	native
দুহি	d u h i	native
দুহিতা	d u h i t a	native
দুহ্য	d u j j o	native
দুহ্যমান	d u j jh O m a n	native
দু্ই	d u i	native
দুৎ	d u t	native
দুড়া	d u r a	native
দুড়ুম	d u r u m	native
দুয়াদশ	d u y a d o sh	native
দুয়ানি	d u y a n i	native
দুয়াপতি	d u y a p O t i	native
দুয়ার	d u y a r	native
দুয়ারিপাড়ার	d u y a r i p a r a r	native
দুয়ারিপাড়ায়	d u y a r i p a r a y	native
দুয়ারে	d u y a r e	native
দুয়ারের	d u y a r e r	native
দুয়ে	d u y e	native
দুয়েক	d u y e k	native
দুয়েকটি	d u y e k T i	native
দুয়েকের	d u y e k e r	native
দুয়ের	d u y e r o	native
দুয়েরই	d u y e r o i	native
দুয়ো	d u y O	native
দুয়োধ্বনি	d u y O d dh o n i	tatsama
দুয়োধ্বনিও	d u y O d dh o n i O	tatsama
দুয়োধ্বনির	d u y O d dh o n i r	tatsama
দুয়োরানি	d u y O r a n i	native
দু–পহর	d u p o h o r	native
দৃক	d ri k	tatsama
দৃকের	d ri k e r	tatsama
দৃপ্ত	d ri p t O	tatsama
দৃপ্তকন্ঠে	d ri p t o k o n Th e	tatsama
দৃশ্ট	d ri sh T O	tatsama
দৃশ্টরজা	d ri sh T O r o j a	tatsama
দৃশ্টান্ত	d ri sh T a nt O	tatsama
দৃশ্টান্তই	d ri sh T a nt o i	tatsama
