# word	phonemes	register
এ	e	unknown
এ-এর	e e r	unknown
একে	e k e	unknown
একেই	e k e i	unknown
একেছি	e k e chh i	unknown
একেছিল	e k e chh i l O	unknown
একেছিলেন	e k e chh i l e n	unknown
একেছে	e k e chh e	unknown
একেছেন	e k e chh e n	unknown
একেবেকে	e k e b e k e	unknown
এচে	e ch e	unknown
এটে	e T e	unknown
এটেছে	e T e chh e	unknown
এটেছেন	e T e chh e n	unknown
এটেল	e T e l	unknown
এদের	e d e r	unknown
এদেরই	e d e r i	unknown
এদেরকে	e d e r k e	unknown
এরা	e r a	unknown
এরাই	e r a i	unknown
এরাও	e r a O	unknown
এড়ি	e r i	unknown
এড়ে	e r e	unknown
এংগ্রি	e ng g r i	unknown
			এঃ	e h	unknown
এঅ্যান্ডডব্লিউ	e A n D D o b l i u	unknown
এআই	e a i	unknown
এআইআর	e a i a r	unknown
এআইইউবি	e a i i u b i	unknown
এআইইউবির	e a i i u b i r	unknown
এআইএ	e a i e	unknown
এআইএস	e a i e s	unknown
এআইএসসির	e a i e s s i r	unknown
এআইজি	e a i j i	unknown
এআইটি	e a i T i	unknown
এআইবিএ	e a i b i e	unknown
এআইবিএল	e a i b i e l	unknown
এআইসিসি	e a i s i s i	unknown
এআর	e a r	unknown
এআরআই	e a r a i	unknown
এআরআইয়ের	e a r a i y e r	unknown
এআরএফ	e a r e ph	unknown
এআরএফের	e a r e ph e r	unknown
এআরএম	e a r e m	unknown
এআরএমের	e a r e m e r	unknown
এআরওয়াই	e a r O y a i	unknown
এআরওয়াইয়ের	e a r O y a i y e r	unknown
এই	e i	unknown
এইউ	e i u	unknown
এইউএসটির	e i u e s T i r	unknown
এইউডব্লিউ	e i u D o b l i u	unknown
এইউডব্লিউর	e i u D o b l i u r	unknown
এইউর	e i u r	unknown
এইএস	e i e s	unknown
এইকম	e i k o m	unknown
এইকমকে	e i k o m k e	unknown
এইকমের	e i k o m e r	unknown
এইখানে	e i kh a n e	unknown
এইখানেই	e i kh a n e i	unknown
এইগন	e i g O n	unknown
এইগুলা	e i g u l a	unknown
এইগুলান	e i g u l a n	unknown
এইগুলো	e i g u l O	unknown
এইচ	e i ch	unknown
এইচআইভি	e i ch a i bh i	unknown
এইচআইভিতে	e i ch a i bh i t e	unknown
এইচআইভির	e i ch a i bh i r	unknown
এইচআর	e i ch a r	unknown
এইচআরডব্লিউ	e i ch a r D o b l i u	unknown
এইচআরডব্লিউর	e i ch a r D o b l i u r	unknown
এইচআরডি	e i ch a r D i	unknown
এইচআরপিবি	e i ch a r p i b i	unknown
এইচআরপিবির	e i ch a r p i b i r	unknown
এইচআরসি	e i ch a r s i	unknown
এইচইউ	e i ch i u	unknown
এইচইউডি	e i ch i u D i	unknown
এইচএমআই	e i ch e m a i	unknown
এইচএমভি	e i ch e m bh i	unknown
এইচএমভির	e i ch e m bh i r	unknown
এইচএল	e i ch e l	unknown
এইচএস	e i ch e s	unknown
এইচএসএফওর	e i ch e s e ph O r	unknown
এইচএসটিসি	e i ch e s T i s i	unknown
এইচএসডিপিএ	e i ch e s D i p i e	unknown
এইচএসপিএ	e i ch e s p i e	unknown
এইচএসবিসি	e i ch e s b i s i	unknownF
এইচএসবিসির	e i ch e s b i s i r	unknown
এইচএসসি	e i ch e s s i	unknown
এইচএসসিতে	e i ch e s s i t e	unknown
এইচএসসিতেও	e i ch e s s i t e O	unknown
এইচএসসির	e i ch e s s i r	unknown
এইচজিপিআইয়ের	e i ch j i p i a i y e r	unknown
এইচটি	e i ch T i	unknown
এইচটিএমএল	e i ch T i e m e l	unknown
এইচটিটিপিএস	e i ch T i T i p i e s	unknown
এইচটিসি	e i ch T i s i	unknown
এইচটিসির	e i ch T i s i r	unknown
এইচডি	e i ch D i	unknown
এইচডিআই	e i ch D i a i	unknown
এইচডিআর	e i ch D i a r	unknown
এইচডিইউতে	e i ch D i i u t e	unknown
এইচডিএম	e i ch D i e m	unknown
এইচডিএমআই	e i ch D i e m a i	unknown
এইচডিএল	e i ch D i e l	unknown
এইচডিপি	e i ch D i p i	unknown
এইচডিপির	e i ch D i p i r	unknown
এইচডিসিপি	e i ch D i s i p i	unknown
এইচপি	e i ch p i	unknown
এইচপিকে	e i ch p i k e	unknown
এইচপিভি	e i ch p i bh i	unknown
এইচপিভির	e i ch p i bh i r	unknown
এইচপির	e i ch p i r	unknown
এইচপিসি	e i ch p i s i	unknown
এইচপিসির	e i ch p i s i r	unknown
এইচবিএস	e i ch b i e s	unknown
এইচবিও	e i ch b i O	unknown
এইচসি	e i ch s i	unknown
এইচসিএ	e i ch s i e	unknown
এইচসিএন	e i ch s i e n	unknown
এইজ	e i j	unknown
এইজন্য	e i j O n n O	unknown
এইজন্যে	e i j O n n e	unknown
এইজি	e i j i	unknown
এইট	e i T	unknown
এইটা	e i T a	unknown
এইটাই	e i T a i	unknown
এইটার	e i T a r	unknown
এইটি	e i T i	unknown
এইটুকু	e i T u k u	unknown
এইটুকুই	e i T u k u i	unknown
এইটুকুন	e i T u k u n	unknown
এইটে	e i T e	unknown
এইটের	e i T e r	unknown
এইট্টি	e i T T i	unknown
এইড	e i D	unknown
      	এইডস	e i D s	unknown
এইডসবিরোধি	e i D s b i r O d h i	unknown
এইডসবিশয়ক	e i D s b i sh o y O k	unknown
এইডসসহ	e i D s sh o h O	unknown
এইডসে	e i D s e	unknown
এইডসের	e i D s e r	unknown
এইডা	e i D a	unknown
এইডেড	e i D e D	unknown
এইডেন	e i D e n	unknown
এইডের	e i D e r	unknown
এইতো	e i t O	unknown
এইদিকে	e i d i k e	unknown
এইদিন	e i d i n	unknown
এইদিনে	e i d i n e	unknown
এইদে	e i d e	unknown
এইধরনের	e i dh o r O n e r	unknown
এইবার	e i b a r	unknown
এইবারের	e i b a r e r	unknown
এইভাবে	e i bh a b e	unknown
এইম	e i m	unknown
এইমস	e i m s	unknown
এইমসের	e i m s e r	unknown
এইমাত্র	e i m a t r O	unknown
এইরকম	e i r o k O m	unknown
এইরম	e i r o m	unknown
এইরুপ	e i r u p	unknown
এইরুপে	e i r u p e	unknown
এইরেস	e i r e s	unknown
এইরেসে	e i r e s e	unknown
এইরেসের	e i r e s e r	unknown
এইস	e i s	unknown
এইসব	e i sh o b	unknown
এইসির	e i s i r	unknown
এইহানে	e i h a n e	unknown
এউইন	e i u n	unknown
এএইচ	e e i ch	unknown
এএইচআরসি	e e i ch a r s i	unknown
এএইচএস	e e i ch e s	unknown
এএএফএ	e e ph e	unknown
এএএফএর	e e ph e r	unknown
এএএমসি	e e e m s i	unknown
এএএমসির	e e e m s i r	unknown
এএনআই	e e n a i	unknown
এএনপি	e e n p i	unknown
এএনপির	e e n p i r	unknown
এএনসি	e e n s i	unknown
এএনসির	e e n s i r o	unknown
এএপি	e e p i	unknown
এএফএ	e e ph e	unknown
এএফএর	e e ph e r	unknown
এএফএসপিএ	e e ph e s p i e	unknown
এএফওয়ানে	e e ph O y a n e	unknown
এএফপি	e e ph p i	unknown
এএফপিকে	e e ph p i k e	unknown
এএফপির	e e ph p i r	unknown
এএফসি	e e ph s i	unknown
এএফসির	e e ph s i r	unknown
এএম	e e m	unknown
এএমআরআই	e e m a r a i	unknown
এএমওএলইডি	e e m O e l i D i	unknown
এএমডি	e e m D i	unknown
এএমডির	e e m D i r	unknown
এএমসি	e e m s i	unknown
এএমসিএল	e e m s i e l	unknown
এএমসির	e e m s i r	unknown
এএলআরডি	e e l a r D i	unknown
এএলআরডির	e e l a r D i r	unknown
এএলএস	e e l e s	unknown
এএস	e e s	unknown
এএসআই	e e s a i	unknown
এএসআইয়ের	e e s a i y e r	unknown
এএসএফ	e e s e ph	unknown
এএসএফের	e e s e ph e r	unknown
এএসএম	e e s e m	unknown
এএসকে	e e s k e	unknown
এএসপি	e e s p i	unknown
এএসপিদের	e e s p i d e r	unknown
এও	e O	unknown
এওএল	e O e l	unknown
এওএলের	e O e l e r	unknown
এওজ	e O j	unknown
		এওসি	e O s i	unknown
এওড়া–কেওড়া	   A O r a - k A O r a	unknown
এওয়াজ	e O y a j	unknown
এওয়ার্ড	e O y a r D	unknown
এক	E k	tatsama
একই	E k i	tatsama
একইতি	E k i t i	native
একইদিন	E k i d i n	native
একইদিনে	E k i d i n e	native
একইভাবে	E k i bh a b e	native
একইরকম	E k i r o k O m	native
একইসংগে	E k i sh o ng g e	native
একইসাথে	E k i sh a th e	native
একক	E k o k	tatsama
এককথা	E k k o th a	native
એકকথার	e k k o th a r	native
এককথায়	e k k o th a y	native
এককপ্রতি	e k o k p r o t i	tatsama
এককভাবে	e k o k bh a b e	native
এককভাবেই	e k o k bh a b e i	native
এককাট্টা	e k k a T T a	native
এককাঠি	e k k a Th i	native
এককাতারে	e k k a t a r e	native
এককানি	e k k a n i	native
এককাপ	e k k a p	native
এককালিন	e k k a l i n | e k k a l i n	native
এককালে	e k k a l e	native
এককালের	e k k a l e r	native
এককে	e k o k e	native
