# word	respelling	converted_phonemes(may be incomplete)
অংশিদারিত্বে	অংশিদারিতে্ত	o ng sh i d a r i t e t o
অংশিদারিত্বের	অংশিদারিতে্তর্	o ng sh i d a r i t e t o r
অচ্ছুত	অচু্ছত	o ch u chh o t o
অন্যায়ের	অন্নায়ের‌্	o n n a y e r o
অবোইজ্ঞানিক	অবউোগ্গানিক্	o b o u g g a n i k
অর্থমন্ত্রি	অর্থোমোন্্	o r th O m O n
অ্যান্টিকিথেরা	এ্যান্টিকিথেরা্	e j a n T i k i th e r a
আটিসাটি	আঁটিসাঁটি	a~ T i sh a T i
আইএনএ	আই্এন্এ্,	a i e n e
আইনমন্ত্রি	আইন্মোন্্	a i n m O n
আতংকের	আতংকে্র্	a t o ng k e r
আশয়	আশয়[আশয়্	a sh o y o a sh o y
ইউনিট্রেন্ড	ইউ্নি্ট্রেন্ড্	i u n i T r e n D
ইচ্ছেমাফিক	ইচ্ছেমাফিক্,	i ch chh e m a ph i k
ইঞ্জিনরুম	ইন্জিন্রুম,	i n j i n r u m o
ইনটেলিজেন্সের	ইন্টেলিজে্ন্সের্	i n T e l i j e n sh e r
ইনডিপেনডেন্স	ইন্ডিপেন্ডেন্স,	i n D i p e n D e n sh o
ইনডিপেন্ডেন্স	ইন্ডিপে্ন্ডেন্স	i n D i p e n D e n sh o
ইশান্তের	ইশান্তের্,	i sh a n t e r
ইস্ত্রি	ইস্্	i sh
ইয়াজউদ্দিনের	ইয়াজ্উদ্দিনের্,	i y a j u d d i n e r
ই–কার	(দীর্ঘ)ইকার	d i r gh o i k a r o
উদ্ভ্রম	উদ্ভ্রম্/–ভ্রো–	u d bh r o m bh r O
উধারা	উধারা(ব্র.	u dh a r a b r o
উপপ্রধানমন্ত্রি	উপোপ্রোধান্মোন্্	u p O p r O dh a n m O n
উপমন্ত্রি	উপোমোন্্	u p O m O n
উপাচার্যবিরোধি	উপাচার্জবি্রোধি	u p a ch a r j o b i r O dh i
উলে্লখ	উলে্লখ্	u l e l o kh
উলে্লখ্য	উলে্লখ্য	u l e l o kh j o
উেকাচ	উেকাচ্	u k a ch
উেকাচের	উেকাচের্	u k a ch e r
উেক্ষপন	উেক্খেপন্	u k kh e p o n
উের	উের্	u r
উেস	উেস্	u sh
উেসর	উেসর্	u sh o r
উেসয়া	উেসয়া	u sh o y a
উেসয়ার	উেসয়ার্	u sh o y a r
একলাসপুর	এক্লা্পুর্	e k l a p u r
একাকৃতি	একাক্কৃতি/অ্যা–	e k a k k ri t i o j a
একাধার	একাধার্/অ্যা–	e k a dh a r o j a
একোদর	একোদর্/অ্য–	e k O d o r o j o
এম–ডি	এম্.ডি	e m D i
ওইতিহ্যকে	ওইতি্জ্জকে	O i t i j j o k e
ওশুধে	ওশুধে্	O sh u dh e
