চোখে	ch O kh e	unknown
বসু	b O s u	unknown
পদপ্রার্থীরা	p o d O pr a r th i r a	unknown
পূর্বাচল	p u r b a ch o l	unknown
টমেটো	T o m e T O	unknown
মৌচাক	m ou ch a k	unknown
ধনেশ	dh o n e sh	unknown
জন্মসনদ	j o n m O sh o n O d	unknown
অগভীর	o g O bh i r	unknown
যদিও	j O d i O	unknown
ভনের	bh o n e r	unknown
সাদা	sh a d a	unknown
মো	m O	unknown
দিনদুপুরে	d i n d u p u r e	unknown
ততই	t o t O i	unknown
সাপোর্টিং	s a p O r T i ng	unknown
মশারি	m o sh a r i	unknown
আসিবে	a sh i b e	unknown
থানাহাজতে	th a n a h a j O t e	unknown
উঠেই	u Th e i	unknown
মেঘের	m e gh e r	unknown
সমর্থিতরা	sh o m O r th i t O r a	unknown
অনন্যা	o n O n n a	unknown
জাপানিজ	j a p a n i j	unknown
কালক্রমে	k a l kr O m e	unknown
উপত্যকা	u p O t t o k a	unknown
শত্রুতার	sh O tr u t a r	unknown
মূল	m u l	unknown
ঝোপের	jh O p e r	unknown
ডিটারজেন্ট	D i T a r j e n T	unknown
দেখিবে	d e kh i b e	unknown
পানিবন্দি	p a n i b O nd i	unknown
সেকেন্ড	s e k e n D	unknown
টর্চলাইট	T o r ch l a i T	unknown
নামছেন	n a m chh e n	unknown
ঘটাতে	gh o T a t e	unknown
সপ্তমী	sh o p t O m i	unknown
ঘড়ি	gh O r i	unknown
আসাটা	a sh a T a	unknown
এথেন্সে	e th e n s e	unknown
তীরের	t i r e r	unknown
শ্রীকৃষ্ণকীর্তন	s r i k ri shN O k i r t O n	unknown
ছাত্রছাত্রীরা	chh a tr O chh a tr i r a	unknown
উপন্যাসগুলোর	u p O n n a sh g u l O r	unknown
দেখালে	d E kh a l e	unknown
তামাকপাতা	t a m a k p a t a	unknown
সমাধানে	sh o m a dh a n e	unknown
ডানা	D a n a	unknown
নিষিদ্ধ	n i sh i d dh O	unknown
বুঝতেন	b u jh t e n	unknown
ওড়না	O r n a	unknown
আলোচনাটা	a l O ch o n a T a	unknown
ষোড়শভূজা	sh O r O sh bh u j a	unknown
মরণনেশা	m o r O n n e sh a	unknown
নদীতীরে	n O d i t i r e	unknown
মুদ্রানীতি	m u d r a n i t i	unknown
প্যাকেজ	p A k e j	unknown
স্বজনপ্রীতির	sh o j O n pr i t i r	unknown
বিলেতি	b i l e t i	unknown
কারুকাজ	k a r u k a j	unknown
রাখতাম	r a kh t a m	unknown
কতখানি	k o t O kh a n i	unknown
আটঘর	a T gh o r	unknown
হলাম	h O l a m	unknown
সমস্যা	sh o m O sh sh a	unknown
সংস্কৃতে	sh o ng s k r i t e	unknown
ছবিটাই	chh O b i T a i	unknown
সংহতি	sh o ng h O t i	unknown
অবচেতনে	o b O ch e t O n e	unknown
সহসম্পাদক	sh o h O sh o mp a d O k	unknown
প্রাচীনকালে	pr a ch i n k a l e	unknown
মুচি	m u ch i	unknown
পশ্চিমবাংলার	p O sh ch i m b a ng l a r	unknown
অন্ধত্বের	o ndh O tt e r	unknown
পশ্চিমাকাশে	p O sh ch i m a k a sh e	unknown
সে গতকাল ঢাকা গিয়েছিল।	sh e | g o t O k a l | Dh a k a | g i y e chh i l O	unknown
ব্যানারে	b A n a r e	unknown
মারেনি	m a r e n i	unknown
ছকটি	chh o k T i	unknown
গাছিরা	g a chh i r a	unknown
জীবনযাত্রা	j i b O n j a tr a	unknown
অল্পকিছু	o l p O k i chh u	unknown
নমিতা	n O m i t a	unknown
ভাষণে	bh a sh O n e	unknown
পিকেটাররা	p i k e T a r r a	unknown
ইটনা	i T n a	unknown
দেশগুলো	d e sh g u l O	unknown
কাঁটার	k a~ T a r	unknown
রোগব্যাধির	r O g b A dh i r	unknown
প্রেমই	pr e m i	unknown
দাপট	d a p O T	unknown
অবারিত	o b a r i t O	unknown
শতকরা	sh o t k o r a	unknown
কাশ	k a sh	unknown
নামীদামি	n a m i d a m i	unknown
ডেটা	D e T a	unknown
আর্টিকেল	a r T i k e l	unknown
আরবি ভাষা	a r b i | bh a sh a	unknown
নেশন	n e sh o n	unknown
গণেশ	g o n e sh	unknown
ক্রিকেটভক্তরা	kr i k e T bh o kt O r a	unknown
খেলাফতের	kh e l a ph o t e r	unknown
স্বস্তিতে	sh O sh t i t e	unknown
শরীফুল	sh O r i ph u l	unknown
ধাক্কাটা	dh a k k a T a	unknown
শেয়ার বাজার	sh e y a r | b a j a r	unknown
শুনছেন	sh u n cch e n	unknown
মৃত্যুমুখে	m r i t t u m u kh e	unknown
করেছিল	k O r e chh i l O	unknown
প্যান্টালুন	p A n T a l u n	unknown
অষ্টম	o shT O m	unknown
ক্যাডারে	k A D a r e	unknown
যোগদানকারীদের	j O g d a n k a r i d e r	unknown
ট্রেনটিতে	T r e n T i t e	unknown
ক্ষুদ্রঋণ	kkh u d r O ri n	unknown
কামে	k a m e	unknown
