আমি	a m i	native
তুমি	t u m i	native
সে	sh e	native
সাইকেল	s a i k e l	loanword
সিনেমা	s i n e m a	loanword
বিজ্ঞান	b i g g y a n	tatsama
রক্ত	r o kt O	tatsama
গরম	g o r O m	native
কেন	k ae n O	native
তেল	t e l	native
মেলা	m ae l a	native
কেমন	k ae m o n	native
বাংলা	b a ng l a	native
আমার	a m a r	native
নাম	n a m	native
কম	k o m	native
ভাত	bh a t	native
মাথা	m a th a	native
চোখ	ch o kh	native
কান	k a n	native
নাক	n a k	native
মুখ	m u kh	native
হাত	h a t	native
পা	p a	native
বুক	b u k	native
পেট	p e T	native
গলা	g o l a	native
মা	m a	native
বাবা	b a b a	native
ভাই	bh a i	native
